idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location
1,08bd39d8-56cc-4bdf-ae2f-9c515145290d,USER_07204,8/19/2023 4:37,Gas Bill,Commercial Gas Connection,Adani Gas,1495.4,28.19,89.99,182,Unified Payments Interface,Successful,MERCH_0163,iOS,Urban
2,333d21ec-009d-4791-a25f-727ba14174fb,USER_00903,8/19/2023 5:52,Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,1267.71,11.36,95.7,994,Unified Payments Interface,Successful,MERCH_0320,iOS,Urban
3,bd51839f-7dd2-4d26-91e2-4504b79c1dde,USER_01769,8/19/2023 6:35,Internet Bill,4G Unlimited Plan,Airtel Broadband,9202.63,6.41,82.24,409,Debit Card,Successful,MERCH_0194,Android,Urban
4,783022a5-7e76-4bb8-9fb0-586b7d59172c,USER_03544,8/19/2023 6:36,Loan Repayment,Home Loan EMI,Axis Bank,3100.58,41.15,40.47,837,Debit Card,Successful,MERCH_0504,Android,Urban
5,666d31da-1bce-435c-b3e9-ac338a4bbe63,USER_07548,8/19/2023 6:46,Flight Booking,Delhi to Mumbai,Yatra,8430.75,44.55,52.61,269,Unified Payments Interface,Successful,MERCH_0476,Android,Urban
6,a0fbbff8-dd54-4897-b6b3-9992711bf576,USER_05280,8/19/2023 7:15,Hotel Booking,Villa,Treebo,6688.17,49.62,22.18,58,Unified Payments Interface,Successful,MERCH_0441,Android,Urban
7,4ef97d92-fd71-406d-9f57-6daac104b60c,USER_03459,8/19/2023 7:57,Gas Bill,Piped Natural Gas,Adani Gas,1802.28,0.11,14.56,950,Unified Payments Interface,Successful,MERCH_0938,iOS,Urban
8,b68c74d4-83e3-4feb-b798-8347fc56b9b6,USER_04329,8/19/2023 9:14,Internet Bill,Broadband 50Mbps Plan,Airtel Broadband,4262.28,2.66,67.63,675,Unified Payments Interface,Successful,MERCH_0156,iOS,Urban
9,78b81362-4180-43e2-a794-97888a41faa5,USER_07264,8/19/2023 10:01,Insurance Premium,Term Life Policy,Max Life,4990.06,20.39,21.87,129,Wallet Balance,Successful,MERCH_0245,iOS,Urban
10,0d709859-b99c-4bb8-bcbb-99c110b3c195,USER_00434,8/19/2023 10:15,Online Shopping,Fitness Tracker,Flipkart,3186.45,36.06,16.12,812,Unified Payments Interface,Successful,MERCH_0371,iOS,Suburban
11,73f30f4c-7d3f-45c6-9349-5cfa023d7593,USER_00723,8/19/2023 11:25,Mobile Recharge,Prepaid Plan 399,BSNL,403.2,10.51,27.03,334,Credit Card,Successful,MERCH_0376,Android,Rural
12,088a744f-c4b4-4cd9-b494-bc3fd6088dd8,USER_01944,8/19/2023 12:17,Online Shopping,Laptop Backpack,Myntra,9421.81,13.69,66.79,522,Unified Payments Interface,Successful,MERCH_0130,Android,Suburban
13,e1d470dd-a64c-438c-a07d-32221b66a264,USER_06471,8/19/2023 13:37,Electricity Bill,Temporary Connection Bill,BSES,5297.09,5.81,95.25,910,Wallet Balance,Successful,MERCH_0961,Android,Urban
14,4074fc74-5b67-4259-8181-a773ce888927,USER_01395,8/19/2023 14:23,Rent Payment,Co-working Space,NoBroker,3101.18,43.42,81.83,882,Bank Transfer,Successful,MERCH_0227,Android,Urban
15,dab8db8e-a1e1-4fe7-947a-fde86302d7f8,USER_00384,8/19/2023 15:34,Gas Bill,Auto LPG,Indraprastha Gas,1440.26,7.56,1.35,547,Debit Card,Successful,MERCH_0240,iOS,Suburban
16,32b6d29e-0140-4dc6-9599-e7c7f69f5a22,USER_00257,8/19/2023 15:39,Streaming Service,Premium Plan,Netflix,4741.99,25.75,21.69,578,Debit Card,Successful,MERCH_0201,Android,Urban
17,850423de-8678-4907-b36c-0bae8307bf1b,USER_04931,8/19/2023 16:08,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3595.19,14.82,10.09,230,Wallet Balance,Successful,MERCH_0933,Android,Urban
18,ddc35854-6561-4149-84ab-8cd6f8863bf7,USER_05181,8/19/2023 16:17,Flight Booking,Delhi to Mumbai,Yatra,9930.71,43.57,35.17,759,Credit Card,Successful,MERCH_0407,Android,Urban
19,30fbd85d-cd3c-4ea5-b048-68bc215f3940,USER_07275,8/19/2023 18:01,Taxi Fare,Share Ride,Meru,307.81,3.26,2.42,568,Unified Payments Interface,Successful,MERCH_0655,Web,Rural
